distrito,ano,dim_3_t,valor
Beja,2023,Japão,102.0
Beja,2023,Letónia,435.0
Beja,2023,Lituânia,833.0
Beja,2023,Luxemburgo,868.0
Beja,2023,Malta,89.0
Beja,2023,Marrocos,198.0
Beja,2023,México,197.0
Beja,2023,Noruega,860.0
Beja,2023,Outros,4176.0
Beja,2023,Países Baixos (Reino dos),16146.0
Beja,2023,Polónia,8107.0
Beja,2023,Portugal,540528.0
Beja,2023,Reino Unido da Grã-Bretanha e Irlanda do Norte,16724.0
Beja,2023,Roménia,831.0
Beja,2023,Suécia,2092.0
Beja,2023,Suíça,9362.0
Beja,2023,Sérvia,123.0
Beja,2023,Total,803430.0
Beja,2023,Turquia,110.0
Beja,2023,Ucrânia,890.0
Beja,2023,Áustria,4401.0
Beja,2023,Índia,328.0
Beja,2024,Alemanha,55278.0
Beja,2024,Angola,310.0
Beja,2024,Argentina,221.0
Beja,2024,Austrália,1493.0
Beja,2024,Brasil,8367.0
Beja,2024,Bulgária,221.0
Beja,2024,Bélgica,10251.0
Beja,2024,Canadá,6158.0
Beja,2024,China,729.0
Beja,2024,Chipre,53.0
Beja,2024,Chéquia,2290.0
Beja,2024,Coreia (República da),825.0
Beja,2024,Croácia,202.0
Beja,2024,Dinamarca,2791.0
Beja,2024,Eslováquia,161.0
Beja,2024,Eslovénia,403.0
Beja,2024,Espanha,46412.0
Beja,2024,Estados Unidos da América,13992.0
Beja,2024,Estrangeiro,268734.0
Beja,2024,Estónia,221.0
Beja,2024,Federação da Rússia,359.0
Beja,2024,Finlândia,944.0
Beja,2024,França,18833.0
Beja,2024,Grécia,317.0
Beja,2024,Hungria,595.0
Beja,2024,Irlanda,3463.0
Beja,2024,Israel,798.0
Beja,2024,Itália,14594.0
Beja,2024,Japão,61.0
Beja,2024,Letónia,448.0
Beja,2024,Lituânia,820.0
Beja,2024,Luxemburgo,964.0
Beja,2024,Malta,20.0
Beja,2024,Marrocos,230.0
Beja,2024,México,136.0
Beja,2024,Noruega,961.0
Beja,2024,Outros,4657.0
Beja,2024,Países Baixos (Reino dos),19383.0
Beja,2024,Polónia,6485.0
Beja,2024,Portugal,570048.0
Beja,2024,Reino Unido da Grã-Bretanha e Irlanda do Norte,16535.0
Beja,2024,Roménia,1554.0
Beja,2024,Suécia,2007.0
Beja,2024,Suíça,10454.0
Beja,2024,Sérvia,45.0
Beja,2024,Total,838782.0
Beja,2024,Turquia,68.0
Beja,2024,Ucrânia,8518.0
Beja,2024,Áustria,4775.0
Beja,2024,Índia,332.0
