varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0013212,2025,2025,,11C1813,Resende,1,,AO,Angola,1,,,Resende,Viseu,Município
0013212,2025,2025,,11D0403,Carrazeda de Ansiães,1,,CN,China,1,,,Carrazeda de Ansiães,Bragança,Município
0013212,2025,2025,,11D0403,Carrazeda de Ansiães,1,,TR,Turquia,1,,,Carrazeda de Ansiães,Bragança,Município
0013212,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,AO,Angola,1,,,Freixo de Espada à Cinta,Bragança,Município
0013212,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,AR,Argentina,1,,,Freixo de Espada à Cinta,Bragança,Município
0013212,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,FI,Finlândia,1,,,Freixo de Espada à Cinta,Bragança,Município
0013212,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,MX,México,1,,,Freixo de Espada à Cinta,Bragança,Município
0013212,2025,2025,,11D0404,Freixo de Espada à Cinta,1,,SK,Eslováquia,1,,,Freixo de Espada à Cinta,Bragança,Município
0013212,2025,2025,,11D0409,Torre de Moncorvo,1,,IN,Índia,1,,,Torre de Moncorvo,Bragança,Município
0013212,2025,2025,,11D0409,Torre de Moncorvo,1,,JP,Japão,1,,,Torre de Moncorvo,Bragança,Município
0013212,2025,2025,,11D0914,Vila Nova de Foz Côa,1,,FI,Finlândia,1,,,Vila Nova de Foz Côa,Guarda,Município
0013212,2025,2025,,11D0914,Vila Nova de Foz Côa,1,,KR,Coreia (República da),1,,,Vila Nova de Foz Côa,Guarda,Município
0013212,2025,2025,,11D0914,Vila Nova de Foz Côa,1,,SK,Eslováquia,1,,,Vila Nova de Foz Côa,Guarda,Município
0013212,2025,2025,,11D1710,Sabrosa,1,,GR,Grécia,1,,,Sabrosa,Vila Real,Município
0013212,2025,2025,,11D1710,Sabrosa,1,,HR,Croácia,1,,,Sabrosa,Vila Real,Município
0013212,2025,2025,,11D1711,Santa Marta de Penaguião,1,,GR,Grécia,1,,,Santa Marta de Penaguião,Vila Real,Município
0013212,2025,2025,,11D1711,Santa Marta de Penaguião,1,,KR,Coreia (República da),1,,,Santa Marta de Penaguião,Vila Real,Município
0013212,2025,2025,,11D1711,Santa Marta de Penaguião,1,,MA,Marrocos,1,,,Santa Marta de Penaguião,Vila Real,Município
0013212,2025,2025,,11D1711,Santa Marta de Penaguião,1,,TR,Turquia,1,,,Santa Marta de Penaguião,Vila Real,Município
0013212,2025,2025,,11D1714,Vila Real,1,,CY,Chipre,1,,,Vila Real,Vila Real,Município
0013212,2025,2025,,11D1801,Armamar,1,,RS,Sérvia,1,,,Armamar,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,AR,Argentina,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,CZ,Chéquia,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,IE,Irlanda,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,LV,Letónia,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,PL,Polónia,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1807,Moimenta da Beira,1,,UA,Ucrânia,1,,,Moimenta da Beira,Viseu,Município
0013212,2025,2025,,11D1818,Sernancelhe,1,,BG,Bulgária,1,,,Sernancelhe,Viseu,Município
0013212,2025,2025,,11D1818,Sernancelhe,1,,CZ,Chéquia,1,,,Sernancelhe,Viseu,Município
0013212,2025,2025,,11D1818,Sernancelhe,1,,IT,Itália,1,,,Sernancelhe,Viseu,Município
0013212,2025,2025,,11D1818,Sernancelhe,1,,US,Estados Unidos da América,1,,,Sernancelhe,Viseu,Município
0013212,2025,2025,,11D1820,Tarouca,1,,FI,Finlândia,1,,,Tarouca,Viseu,Município
0013212,2025,2025,,11D1820,Tarouca,1,,MX,México,1,,,Tarouca,Viseu,Município
0013212,2025,2025,,11E0401,Alfândega da Fé,1,,BG,Bulgária,1,,,Alfândega da Fé,Bragança,Município
0013212,2025,2025,,11E0401,Alfândega da Fé,1,,CN,China,1,,,Alfândega da Fé,Bragança,Município
0013212,2025,2025,,11E0401,Alfândega da Fé,1,,DK,Dinamarca,1,,,Alfândega da Fé,Bragança,Município
0013212,2025,2025,,11E0401,Alfândega da Fé,1,,HR,Croácia,1,,,Alfândega da Fé,Bragança,Município
0013212,2025,2025,,11E0401,Alfândega da Fé,1,,LT,Lituânia,1,,,Alfândega da Fé,Bragança,Município
0013212,2025,2025,,11E0405,Macedo de Cavaleiros,1,,AT,Áustria,1,,,Macedo de Cavaleiros,Bragança,Município
0013212,2025,2025,,11E0405,Macedo de Cavaleiros,1,,IL,Israel,1,,,Macedo de Cavaleiros,Bragança,Município
0013212,2025,2025,,11E0405,Macedo de Cavaleiros,1,,SE,Suécia,1,,,Macedo de Cavaleiros,Bragança,Município
0013212,2025,2025,,11E0406,Miranda do Douro,1,,HU,Hungria,1,,,Miranda do Douro,Bragança,Município
0013212,2025,2025,,11E0406,Miranda do Douro,1,,JP,Japão,1,,,Miranda do Douro,Bragança,Município
0013212,2025,2025,,11E0406,Miranda do Douro,1,,SI,Eslovénia,1,,,Miranda do Douro,Bragança,Município
0013212,2025,2025,,11E0407,Mirandela,1,,CZ,Chéquia,1,,,Mirandela,Bragança,Município
0013212,2025,2025,,11E0407,Mirandela,1,,GR,Grécia,1,,,Mirandela,Bragança,Município
0013212,2025,2025,,11E0407,Mirandela,1,,IN,Índia,1,,,Mirandela,Bragança,Município
0013212,2025,2025,,11E0407,Mirandela,1,,TR,Turquia,1,,,Mirandela,Bragança,Município
0013212,2025,2025,,11E0408,Mogadouro,1,,HU,Hungria,1,,,Mogadouro,Bragança,Município
0013212,2025,2025,,11E0408,Mogadouro,1,,JP,Japão,1,,,Mogadouro,Bragança,Município
0013212,2025,2025,,11E0408,Mogadouro,1,,PL,Polónia,1,,,Mogadouro,Bragança,Município
0013212,2025,2025,,11E0410,Vila Flor,1,,BG,Bulgária,1,,,Vila Flor,Bragança,Município
0013212,2025,2025,,11E0410,Vila Flor,1,,ZZ,Outros,1,,,Vila Flor,Bragança,Município
0013212,2025,2025,,11E0411,Vimioso,1,,MX,México,1,,,Vimioso,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,GR,Grécia,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,HU,Hungria,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,IL,Israel,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,JP,Japão,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,MX,México,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,PL,Polónia,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,11E0412,Vinhais,1,,TR,Turquia,1,,,Vinhais,Bragança,Município
0013212,2025,2025,,1500802,Alcoutim,1,,IL,Israel,1,,,Alcoutim,Faro,Município
0013212,2025,2025,,1500802,Alcoutim,1,,LV,Letónia,1,,,Alcoutim,Faro,Município
0013212,2025,2025,,1500802,Alcoutim,1,,MA,Marrocos,1,,,Alcoutim,Faro,Município
0013212,2025,2025,,1500802,Alcoutim,1,,MX,México,1,,,Alcoutim,Faro,Município
0013212,2025,2025,,1500804,Castro Marim,1,,HR,Croácia,1,,,Castro Marim,Faro,Município
0013212,2025,2025,,1500804,Castro Marim,1,,MT,Malta,1,,,Castro Marim,Faro,Município
0013212,2025,2025,,1500812,São Brás de Alportel,1,,CN,China,1,,,São Brás de Alportel,Faro,Município
0013212,2025,2025,,1500812,São Brás de Alportel,1,,GR,Grécia,1,,,São Brás de Alportel,Faro,Município
0013212,2025,2025,,1500812,São Brás de Alportel,1,,HR,Croácia,1,,,São Brás de Alportel,Faro,Município
