varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,concelho,distrito,nivel_geo
0012918,2025,2025,,1D11001,Alcobaça,1264,,1,H,21,10 - 14 anos,1 264,Alcobaça,Leiria,Município
0012918,2025,2025,,1D31415,Salvaterra de Magos,1264,,T,HM,32,25 - 29 anos,1 264,Salvaterra de Magos,Santarém,Município
0012918,2025,2025,,1920610,Montemor-o-Velho,1265,,T,HM,32,25 - 29 anos,1 265,Montemor-o-Velho,Coimbra,Município
0012918,2025,2025,,3003108,Santa Cruz,1265,,1,H,22,15 - 19 anos,1 265,Santa Cruz,Região Autónoma da Madeira,Município
0012918,2025,2025,,11C1804,Cinfães,1266,,T,HM,72,65 - 69 anos,1 266,Cinfães,Viseu,Município
0012918,2025,2025,,1931004,Batalha,1266,,T,HM,52,45 - 49 anos,1 266,Batalha,Leiria,Município
0012918,2025,2025,,1120302,Barcelos,1267,,1,H,92,85 e mais anos,1 267,Barcelos,Braga,Município
0012918,2025,2025,,1500810,Olhão,1267,,2,M,82,75 - 79 anos,1 267,Olhão,Faro,Município
0012918,2025,2025,,1910115,Ovar,1267,,2,M,92,85 e mais anos,1 267,Ovar,Aveiro,Município
0012918,2025,2025,,1931004,Batalha,1267,,T,HM,61,50 - 54 anos,1 267,Batalha,Leiria,Município
0012918,2025,2025,,1D31403,Almeirim,1267,,T,HM,31,20 - 24 anos,1 267,Almeirim,Santarém,Município
0012918,2025,2025,,1D31405,Benavente,1267,,1,H,51,40 - 44 anos,1 267,Benavente,Santarém,Município
0012918,2025,2025,,11B1703,Chaves,1268,,1,H,61,50 - 54 anos,1 268,Chaves,Vila Real,Município
0012918,2025,2025,,1500802,Alcoutim,1268,,2,M,T,Total,1 268,Alcoutim,Faro,Município
0012918,2025,2025,,1D21421,Ourém,1268,,2,M,82,75 - 79 anos,1 268,Ourém,Santarém,Município
0012918,2025,2025,,1D31415,Salvaterra de Magos,1268,,T,HM,82,75 - 79 anos,1 268,Salvaterra de Magos,Santarém,Município
0012918,2025,2025,,1920615,Soure,1269,,T,HM,71,60 - 64 anos,1 269,Soure,Coimbra,Município
0012918,2025,2025,,1960503,Covilhã,1269,,2,M,41,30 - 34 anos,1 269,Covilhã,Castelo Branco,Município
0012918,2025,2025,,1D31406,Cartaxo,1269,,T,HM,22,15 - 19 anos,1 269,Cartaxo,Santarém,Município
0012918,2025,2025,,2004302,Vila da Praia da Vitória,1269,,T,HM,42,35 - 39 anos,1 269,Vila da Praia da Vitória,Região Autónoma dos Açores,Município
0012918,2025,2025,,1120313,Vila Verde,1270,,2,M,22,15 - 19 anos,1 270,Vila Verde,Braga,Município
0012918,2025,2025,,1910101,Águeda,1270,,2,M,31,20 - 24 anos,1 270,Águeda,Aveiro,Município
0012918,2025,2025,,2004205,Ribeira Grande,1270,,2,M,51,40 - 44 anos,1 270,Ribeira Grande,Região Autónoma dos Açores,Município
0012918,2025,2025,,11C1301,Amarante,1271,,2,M,22,15 - 19 anos,1 271,Amarante,Porto,Município
0012918,2025,2025,,1D21421,Ourém,1271,,2,M,31,20 - 24 anos,1 271,Ourém,Santarém,Município
0012918,2025,2025,,2004301,Angra do Heroísmo,1271,,T,HM,11,0 - 4 anos,1 271,Angra do Heroísmo,Região Autónoma dos Açores,Município
0012918,2025,2025,,1120301,Amares,1272,,T,HM,71,60 - 64 anos,1 272,Amares,Braga,Município
0012918,2025,2025,,1500814,Tavira,1272,,T,HM,91,80 - 84 anos,1 272,Tavira,Faro,Município
0012918,2025,2025,,1910110,Ílhavo,1272,,1,H,72,65 - 69 anos,1 272,Ílhavo,Aveiro,Município
0012918,2025,2025,,1910102,Albergaria-a-Velha,1273,,T,HM,82,75 - 79 anos,1 273,Albergaria-a-Velha,Aveiro,Município
0012918,2025,2025,,2004301,Angra do Heroísmo,1273,,2,M,51,40 - 44 anos,1 273,Angra do Heroísmo,Região Autónoma dos Açores,Município
0012918,2025,2025,,3003108,Santa Cruz,1273,,1,H,31,20 - 24 anos,1 273,Santa Cruz,Região Autónoma da Madeira,Município
0012918,2025,2025,,1111607,Ponte de Lima,1275,,1,H,42,35 - 39 anos,1 275,Ponte de Lima,Viana do Castelo,Município
0012918,2025,2025,,11A0107,Espinho,1275,,2,M,62,55 - 59 anos,1 275,Espinho,Aveiro,Município
0012918,2025,2025,,1960912,Seia,1275,,T,HM,92,85 e mais anos,1 275,Seia,Guarda,Município
0012918,2025,2025,,1500807,Lagos,1276,,T,HM,91,80 - 84 anos,1 276,Lagos,Faro,Município
0012918,2025,2025,,1920615,Soure,1276,,T,HM,72,65 - 69 anos,1 276,Soure,Coimbra,Município
0012918,2025,2025,,1D21401,Abrantes,1276,,1,H,61,50 - 54 anos,1 276,Abrantes,Santarém,Município
0012918,2025,2025,,1D31405,Benavente,1276,,1,H,61,50 - 54 anos,1 276,Benavente,Santarém,Município
0012918,2025,2025,,1920605,Figueira da Foz,1277,,2,M,12,5 - 9 anos,1 277,Figueira da Foz,Coimbra,Município
0012918,2025,2025,,11A0107,Espinho,1278,,2,M,81,70 - 74 anos,1 278,Espinho,Aveiro,Município
0012918,2025,2025,,11A1313,Póvoa de Varzim,1278,,2,M,91,80 - 84 anos,1 278,Póvoa de Varzim,Porto,Município
0012918,2025,2025,,1910115,Ovar,1278,,1,H,12,5 - 9 anos,1 278,Ovar,Aveiro,Município
0012918,2025,2025,,11B1703,Chaves,1279,,1,H,71,60 - 64 anos,1 279,Chaves,Vila Real,Município
0012918,2025,2025,,1941806,Mangualde,1279,,T,HM,51,40 - 44 anos,1 279,Mangualde,Viseu,Município
0012918,2025,2025,,1111609,Viana do Castelo,1280,,1,H,92,85 e mais anos,1 280,Viana do Castelo,Viana do Castelo,Município
0012918,2025,2025,,1960907,Guarda,1280,,2,M,81,70 - 74 anos,1 280,Guarda,Guarda,Município
0012918,2025,2025,,1B01508,Palmela,1280,,2,M,91,80 - 84 anos,1 280,Palmela,Setúbal,Município
0012918,2025,2025,,1D11006,Caldas da Rainha,1280,,2,M,21,10 - 14 anos,1 280,Caldas da Rainha,Leiria,Município
