distrito,ano,dim_4_t,valor
Braga,2023,75 - 79 anos,35552
Braga,2023,80 - 84 anos,23172
Braga,2023,85 e mais anos,25304
Braga,2023,Total,885356
Braga,2023,0 - 4 anos,34392
Braga,2023,5 - 9 anos,38583
Braga,2023,10 - 14 anos,40889
Braga,2023,15 - 19 anos,45567
Braga,2023,20 - 24 anos,51900
Braga,2023,25 - 29 anos,53914
Braga,2024,30 - 34 anos,55534
Braga,2024,35 - 39 anos,56723
Braga,2024,40 - 44 anos,63753
Braga,2024,45 - 49 anos,69368
Braga,2024,50 - 54 anos,68198
Braga,2024,55 - 59 anos,64581
Braga,2024,60 - 64 anos,61619
Braga,2024,65 - 69 anos,56088
Braga,2024,70 - 74 anos,47486
Braga,2024,75 - 79 anos,37681
Braga,2024,80 - 84 anos,23728
Braga,2024,85 e mais anos,26379
Braga,2024,Total,896356
Braga,2024,0 - 4 anos,34142
Braga,2024,5 - 9 anos,39575
Braga,2024,10 - 14 anos,40352
Braga,2024,15 - 19 anos,45320
Braga,2024,20 - 24 anos,51035
Braga,2024,25 - 29 anos,54794
Braga,2025,30 - 34 anos,56020
Braga,2025,35 - 39 anos,57170
Braga,2025,40 - 44 anos,62868
Braga,2025,45 - 49 anos,68713
Braga,2025,50 - 54 anos,69430
Braga,2025,55 - 59 anos,64582
Braga,2025,60 - 64 anos,62942
Braga,2025,65 - 69 anos,56613
Braga,2025,70 - 74 anos,49277
Braga,2025,75 - 79 anos,38578
Braga,2025,80 - 84 anos,25333
Braga,2025,85 e mais anos,26927
Braga,2025,Total,901282
Braga,2025,0 - 4 anos,33551
Braga,2025,5 - 9 anos,39297
Braga,2025,10 - 14 anos,39760
Braga,2025,15 - 19 anos,44908
Braga,2025,20 - 24 anos,49698
Braga,2025,25 - 29 anos,55615
Bragança,2020,30 - 34 anos,5128
Bragança,2020,35 - 39 anos,6066
Bragança,2020,40 - 44 anos,7490
Bragança,2020,45 - 49 anos,7695
Bragança,2020,50 - 54 anos,8145
Bragança,2020,55 - 59 anos,9217
Bragança,2020,60 - 64 anos,10100
Bragança,2020,65 - 69 anos,10408
Bragança,2020,70 - 74 anos,9193
Bragança,2020,75 - 79 anos,8227
Bragança,2020,80 - 84 anos,7088
Bragança,2020,85 e mais anos,7137
Bragança,2020,Total,123476
Bragança,2020,0 - 4 anos,3780
Bragança,2020,5 - 9 anos,3730
Bragança,2020,10 - 14 anos,4353
Bragança,2020,15 - 19 anos,4923
Bragança,2020,20 - 24 anos,5862
Bragança,2020,25 - 29 anos,4934
Bragança,2021,30 - 34 anos,5172
Bragança,2021,35 - 39 anos,5898
Bragança,2021,40 - 44 anos,7168
Bragança,2021,45 - 49 anos,7555
Bragança,2021,50 - 54 anos,7717
Bragança,2021,55 - 59 anos,8425
Bragança,2021,60 - 64 anos,9369
Bragança,2021,65 - 69 anos,9768
Bragança,2021,70 - 74 anos,9034
Bragança,2021,75 - 79 anos,8159
Bragança,2021,80 - 84 anos,6799
Bragança,2021,85 e mais anos,7687
Bragança,2021,Total,121704
Bragança,2021,0 - 4 anos,3602
Bragança,2021,5 - 9 anos,3791
Bragança,2021,10 - 14 anos,4339
Bragança,2021,15 - 19 anos,4931
Bragança,2021,20 - 24 anos,6655
Bragança,2021,25 - 29 anos,5635
Bragança,2022,30 - 34 anos,5416
Bragança,2022,35 - 39 anos,5736
Bragança,2022,40 - 44 anos,7145
Bragança,2022,45 - 49 anos,7682
Bragança,2022,50 - 54 anos,7626
Bragança,2022,55 - 59 anos,8297
Bragança,2022,60 - 64 anos,9303
Bragança,2022,65 - 69 anos,9751
Bragança,2022,70 - 74 anos,9221
Bragança,2022,75 - 79 anos,8065
Bragança,2022,80 - 84 anos,6675
Bragança,2022,85 e mais anos,7826
Bragança,2022,Total,122809
Bragança,2022,0 - 4 anos,3610
Bragança,2022,5 - 9 anos,3981
Bragança,2022,10 - 14 anos,4294
Bragança,2022,15 - 19 anos,5100
Bragança,2022,20 - 24 anos,6982
Bragança,2022,25 - 29 anos,6099
Bragança,2023,30 - 34 anos,5544
Bragança,2023,35 - 39 anos,5750
Bragança,2023,40 - 44 anos,6973
Bragança,2023,45 - 49 anos,7821
Bragança,2023,50 - 54 anos,7664
Bragança,2023,55 - 59 anos,8197
Bragança,2023,60 - 64 anos,9110
Bragança,2023,65 - 69 anos,9766
Bragança,2023,70 - 74 anos,9319
Bragança,2023,75 - 79 anos,8156
Bragança,2023,80 - 84 anos,6686
Bragança,2023,85 e mais anos,8115
Bragança,2023,Total,123680
Bragança,2023,0 - 4 anos,3587
Bragança,2023,5 - 9 anos,4058
Bragança,2023,10 - 14 anos,4286
Bragança,2023,15 - 19 anos,4989
Bragança,2023,20 - 24 anos,7038
Bragança,2023,25 - 29 anos,6621
Bragança,2024,30 - 34 anos,5682
Bragança,2024,35 - 39 anos,5722
Bragança,2024,40 - 44 anos,6915
Bragança,2024,45 - 49 anos,7829
Bragança,2024,50 - 54 anos,7650
Bragança,2024,55 - 59 anos,8079
Bragança,2024,60 - 64 anos,9037
Bragança,2024,65 - 69 anos,9689
Bragança,2024,70 - 74 anos,9593
Bragança,2024,75 - 79 anos,8089
Bragança,2024,80 - 84 anos,6810
Bragança,2024,85 e mais anos,8227
Bragança,2024,Total,124041
Bragança,2024,0 - 4 anos,3496
Bragança,2024,5 - 9 anos,4200
Bragança,2024,10 - 14 anos,4265
Bragança,2024,15 - 19 anos,4942
Bragança,2024,20 - 24 anos,6876
Bragança,2024,25 - 29 anos,6940
Bragança,2025,30 - 34 anos,5774
Bragança,2025,35 - 39 anos,5852
Bragança,2025,40 - 44 anos,6661
Bragança,2025,45 - 49 anos,7855
Bragança,2025,50 - 54 anos,7740
Bragança,2025,55 - 59 anos,7984
Bragança,2025,60 - 64 anos,8883
Bragança,2025,65 - 69 anos,9657
Bragança,2025,70 - 74 anos,9632
Bragança,2025,75 - 79 anos,8190
Bragança,2025,80 - 84 anos,6897
