varcd,periodo,ano,mes,geo_cod,geo_dsg,valor,unidade,dim_3,dim_3_t,ind_string,sinal_conv,sinal_conv_desc,concelho,distrito,nivel_geo
0009183,2025,2025,,11B1702,Boticas,18348,,T,Total,18 348,,,Boticas,Vila Real,Município
0009183,2025,2025,,16B1011,Nazaré,18355,,FR,França,18 355,,,Nazaré,Leiria,Município
0009183,2025,2025,,181,Alentejo Litoral,18355,,BE,Bélgica,18 355,,,Alentejo Litoral,,Agregado (NUTS/Continente)
0009183,2025,2025,,1701105,Cascais,18373,,DK,Dinamarca,18 373,,,Cascais,Lisboa,Município
0009183,2025,2025,,16F1010,Marinha Grande,18378,,ES,Espanha,18 378,,,Marinha Grande,Leiria,Município
0009183,2025,2025,,1701110,Oeiras,18413,,GB,Reino Unido da Grã-Bretanha e Irlanda do Norte,18 413,,,Oeiras,Lisboa,Município
0009183,2025,2025,,16J,Beiras e Serra da Estrela,18428,,BR,Brasil,18 428,,,Beiras e Serra da Estrela,,Agregado (NUTS/Continente)
0009183,2025,2025,,1870705,Évora,18428,,FR,França,18 428,,,Évora,Évora,Município
0009183,2025,2025,,1870701,Alandroal,18435,,PT,Portugal,18 435,,,Alandroal,Évora,Município
0009183,2025,2025,,2004401,Santa Cruz da Graciosa,18435,,T,Total,18 435,,,Santa Cruz da Graciosa,Região Autónoma dos Açores,Município
0009183,2025,2025,,11D1820,Tarouca,18453,,T,Total,18 453,,,Tarouca,Viseu,Município
0009183,2025,2025,,3003106,Porto Moniz,18522,,FR,França,18 522,,,Porto Moniz,Região Autónoma da Madeira,Município
0009183,2025,2025,,11E0405,Macedo de Cavaleiros,18557,,PT,Portugal,18 557,,,Macedo de Cavaleiros,Bragança,Município
0009183,2025,2025,,16D0102,Albergaria-a-Velha,18567,,PT,Portugal,18 567,,,Albergaria-a-Velha,Aveiro,Município
0009183,2025,2025,,1701105,Cascais,18569,,PL,Polónia,18 569,,,Cascais,Lisboa,Município
0009183,2025,2025,,11A1308,Matosinhos,18583,,BR,Brasil,18 583,,,Matosinhos,Porto,Município
0009183,2025,2025,,16D0112,Murtosa,18631,,T,Total,18 631,,,Murtosa,Aveiro,Município
0009183,2025,2025,,1701105,Cascais,18634,,FI,Finlândia,18 634,,,Cascais,Lisboa,Município
0009183,2025,2025,,1500805,Faro,18666,,ZZ,Outros,18 666,,,Faro,Faro,Município
0009183,2025,2025,,11A0116,São João da Madeira,18668,,E,Estrangeiro,18 668,,,São João da Madeira,Aveiro,Município
0009183,2025,2025,,1870705,Évora,18694,,ZZ,Outros,18 694,,,Évora,Évora,Município
0009183,2025,2025,,15,Algarve,18723,,IL,Israel,18 723,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,150,Algarve,18723,,IL,Israel,18 723,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,18,Alentejo,18756,,UA,Ucrânia,18 756,,,Alentejo,,Agregado (NUTS/Continente)
0009183,2025,2025,,11C1813,Resende,18762,,PT,Portugal,18 762,,,Resende,Viseu,Município
0009183,2025,2025,,11C0106,Castelo de Paiva,18868,,E,Estrangeiro,18 868,,,Castelo de Paiva,Aveiro,Município
0009183,2025,2025,,16B,Oeste,18881,,PL,Polónia,18 881,,,Oeste,,Agregado (NUTS/Continente)
0009183,2025,2025,,11A1308,Matosinhos,18906,,US,Estados Unidos da América,18 906,,,Matosinhos,Porto,Município
0009183,2025,2025,,18,Alentejo,18928,,CN,China,18 928,,,Alentejo,,Agregado (NUTS/Continente)
0009183,2025,2025,,16E0615,Soure,19012,,T,Total,19 012,,,Soure,Coimbra,Município
0009183,2025,2025,,3003201,Porto Santo,19124,,IT,Itália,19 124,,,Porto Santo,Região Autónoma da Madeira,Município
0009183,2025,2025,,15,Algarve,19189,,KR,Coreia (República da),19 189,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,150,Algarve,19189,,KR,Coreia (República da),19 189,,,Algarve,,Agregado (NUTS/Continente)
0009183,2025,2025,,112,Cávado,19203,,NL,Países Baixos (Reino dos),19 203,,,Cávado,,Agregado (NUTS/Continente)
0009183,2025,2025,,1500805,Faro,19267,,BE,Bélgica,19 267,,,Faro,Faro,Município
0009183,2025,2025,,11C1303,Felgueiras,19282,,PT,Portugal,19 282,,,Felgueiras,Porto,Município
0009183,2025,2025,,16B1014,Peniche,19302,,DE,Alemanha,19 302,,,Peniche,Leiria,Município
0009183,2025,2025,,16H0507,Penamacor,19321,,T,Total,19 321,,,Penamacor,Castelo Branco,Município
0009183,2025,2025,,1861203,Avis,19324,,T,Total,19 324,,,Avis,Portalegre,Município
0009183,2025,2025,,2004101,Vila do Porto,19364,,E,Estrangeiro,19 364,,,Vila do Porto,Região Autónoma dos Açores,Município
0009183,2025,2025,,1500808,Loulé,19387,,SE,Suécia,19 387,,,Loulé,Faro,Município
